type,level,year,num_of_enrolled,num_awarded_aid,pct_sutdents_awarded_aid,pct_with_fed_grants,pct_with_state_local_grants,pct_with_institutional_grant,pct_student_loans,avg_federal_grants_award,avg_state_local_grants_award,avg_inst_grants_award,avg_student_loans_award,avg_federal_grants_const,avg_state_local_grants_const,avg_inst_grants_const,avg_student_loans_const
All institutions,Both,2000-01,1976600,1390527,70.349,31.642,31.222,31.084,40.068,2486.498,2038.852,4739.627,3764.186,4255.855,3489.671,8112.278,6442.728
All institutions,Both,2001-02,2050016,1481592,72.272,33.259,32.486,31.477,40.672,2739.036,2056.97,4917.871,3970.092,4606.536,3459.432,8270.923,6676.938
All institutions,Both,2002-03,2135613,1553024,72.72,34.052,30.886,31.459,41.39,2946.976,2188.738,5267.089,4330.583,4849.674,3601.884,8667.755,7126.599
All institutions,Both,2003-04,2178517,1610967,73.948,34.608,31.213,31.868,43.099,2933.558,2226.192,5648.139,4193.347,4724.241,3585.089,9095.838,6753.021
All institutions,Both,2004-05,2260590,1689910,74.755,35.235,31.289,31.693,43.958,2939.1,2343.421,5957.97,4462.648,4594.892,3663.628,9314.495,6976.758
All institutions,Both,2005-06,2309543,1731315,74.964,33.658,30.778,32.684,44.574,2959.25,2440.98,6212.991,4831.145,4456.675,3676.153,9356.86,7275.779
All institutions,Both,2006-07,2426599,1766783,72.809,32.133,30.04,32.19,43.491,3130.973,2525.848,6597.879,5018.06,4596.427,3708.074,9686.023,7366.768
All institutions,Both,2007-08,2528579,1911296,75.588,35.39,30.605,33.634,45.531,3380.787,2586.309,6808.48,6007.652,4785.836,3661.175,9638.073,8504.423
All institutions,Both,2008-09,2542748,1974063,77.635,36.437,31.723,34.625,46.596,3926.895,2706.013,7518.364,6722.914,5482.356,3777.877,10496.422,9385.891
All institutions,Both,2009-10,2855241,2323706,81.384,46.158,28.592,33.311,51.162,4693.472,2771.193,7692.9,7018.744,6489.783,3831.8,10637.168,9704.997
All institutions,Both,2010-11,2648101,2179582,82.307,47.794,30.98,35.769,50.096,4758.169,2842.793,8393.5,6623.558,6449.733,3853.426,11377.449,8978.28
All institutions,Both,2011-12,2571120,2140556,83.254,47.641,30.828,37.929,51.196,4423.948,2912.423,8766.886,6640.847,5825.987,3835.43,11545.292,8745.467
All institutions,Both,2012-13,2510994,2077909,82.752,45.52,31.188,39.818,49.352,4452.046,3051.049,9222.797,6895.866,5767.019,3952.218,11946.877,8932.654
All institutions,Both,2013-14,2505306,2077487,82.923,45.28,32.229,41.362,47.344,4532.538,3100.818,9603.002,7015.486,5780.98,3954.906,12248.052,8947.83
All institutions,Both,2014-15,2471045,2062252,83.457,44.477,32.93,42.757,46.96,4599.386,3214.094,10066.423,6924.85,5823.832,4069.748,12746.3,8768.379
All institutions,Both,2015-16,2458068,2031557,82.649,42.555,32.291,44.338,45.632,4682.006,3374.786,10352.664,6989.282,5888.737,4244.597,13020.939,8790.685
All institutions,Both,2016-17,2491341,2063481,82.826,42.309,31.847,44.74,46.091,4700.307,3463.221,10771.668,7079.632,5804.973,4277.147,13303.224,8743.486
All institutions,Both,2017-18,2464021,2057789,83.513,42.62,33.629,46.616,44.351,4926.484,3681.879,11233.026,7082.322,5950.176,4446.95,13567.177,8553.983
All institutions,Both,2018-19,2470908,2072213,83.864,41.99,34.352,47.923,42.953,5082.064,3809.569,11648.485,7212.236,6013.466,4507.758,13783.329,8534.039
All institutions,Both,2019-20,2455016,2097865,85.452,52.047,35.18,49.268,41.131,4587.039,3860.588,11716.951,7388.838,5344.115,4497.766,13650.797,8608.342
All institutions,Both,2020-21,2246762,1923272,85.602,51.327,34.297,53.056,38.4,4721.136,3969.654,11719.348,7216.195,5376.584,4520.772,13346.379,8218.04
All institutions,Both,2021-22,2282669,1991973,87.265,56.012,33.2,54.013,38.627,4983.171,4116.498,12499.766,7486.769,5295.21,4374.267,13282.484,7955.58
Public,Both,2000-01,1333236,872109,65.413,29.996,33.473,22.691,30.654,2407.818,1706.682,2274.567,3049.951,4121.188,2921.134,3893.116,5220.254
Public,Both,2005-06,1510268,1066041,70.586,31.118,34.831,25.063,34.218,2925.8,2226.335,3161.933,3866.496,4406.299,3352.894,4761.92,5823.002
Public,Both,2010-11,1802335,1421369,78.863,45.981,35.921,27.216,40.206,4764.973,2676.488,4160.28,5780.016,6458.955,3627.999,5639.29,7834.852
Public,Both,2015-16,1747471,1399831,80.106,42.185,37.201,35.55,38.093,4636.204,3237.636,5322.083,6315.571,5831.129,4072.097,6693.786,7943.333
Public,Both,2016-17,1752934,1407452,80.291,41.61,37.179,37.18,38.175,4640.844,3331.895,5497.978,6439.5,5731.535,4114.957,6790.113,7952.911
Public,Both,2017-18,1766933,1438708,81.424,42.855,38.878,38.926,37.24,4907.27,3556.516,5549.279,6488.49,5926.97,4295.538,6702.384,7836.757
Public,Both,2018-19,1777994,1449845,81.544,42.071,39.683,40.32,35.582,5048.829,3687.289,5665.731,6631.017,5974.14,4363.067,6704.103,7846.299
Public,Both,2019-20,1783178,1494200,83.794,52.592,40.618,41.705,34.005,4575.755,3739.658,5775.935,6803.163,5330.969,4356.877,6729.235,7926.003
Public,Both,2020-21,1608012,1349831,83.944,52.179,39.848,46.584,30.707,4628.22,3849.699,5660.258,6661.092,5270.769,4384.164,6446.087,7585.871
Public,Both,2021-22,1617365,1401935,86.68,60.062,39.092,47.55,31.418,4920.741,3988.703,6055.473,7022.637,5228.87,4238.47,6434.658,7462.384
Public,4-year,2000-01,804793,573430,71.252,26.568,36.526,29.629,40.716,2569.293,2067.964,2616.003,3211.691,4397.566,3539.498,4477.514,5497.085
Public,4-year,2005-06,906948,695017,76.633,26.56,36.791,34.194,44.374,3070.614,2752.181,3573.22,4165.974,4624.392,4144.826,5381.325,6274.02
Public,4-year,2010-11,1039126,858424,82.61,38.866,38.231,39.64,51.483,4983.447,3468.75,4634.25,6126.746,6755.098,4701.915,6281.759,8304.847
Public,4-year,2015-16,1144409,948342,82.867,36.821,36.799,47.178,47.242,4706.623,3904.989,5812.394,6710.038,5919.698,4911.453,7310.469,8439.47
Public,4-year,2016-17,1161684,965117,83.079,36.375,36.478,48.917,47.052,4723.235,3995.584,5995.369,6837.11,5833.289,4934.626,7404.401,8443.967
Public,4-year,2017-18,1183534,993916,83.979,37.861,38.321,50.273,46.025,4958.48,4249.846,6092.907,6869.068,5988.821,5132.937,7358.974,8296.417
Public,4-year,2018-19,1208851,1011977,83.714,37.317,38.44,51.454,43.874,5089.06,4412.203,6213.993,7011.563,6021.743,5220.837,7352.845,8296.588
